Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
s2_1,-0.36345,0.22258,0.019464,0,0,0,0.032837,8.9139E-06,-2.9689E-06,2.487E-07,8.9836E-06,2.4579E-07,8.2669E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s2_1.STL,0.64314,0.58824,0.89412,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s2_1.STL,,SERVO_2_2^l_BOT_URDF_renamed v3222(2)-1,Origin_l2_1_s2_1,,l2_1_s2_1,fixed,0,0,0,0,0,0.002602,l2_1,0,0,0,,,,,,,,,,,,
l2_2,-0.3998,0.24926,0.0097716,0,0,0,0.019253,1.4854E-05,1.0318E-06,1.091E-07,1.4164E-05,-5.4503E-08,2.8004E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l2_2.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l2_2.STL,,LEG_2_2^l_BOT_URDF_renamed v3222(2)-1,Origin_j2_2,Axis6,j2_2,fixed,0,0,0,0,0,-0.002602,s2_1,0,0,0,,,,,,,,,,,,
s2_2,-0.4328,0.29363,0.0088696,0,0,0,0.024173,4.8538E-06,2.4864E-07,-5.9185E-09,5.9269E-06,4.3491E-09,8.535E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s2_2.STL,0.64314,0.58824,0.89412,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s2_2.STL,,SERVO_2_3^l_BOT_URDF_renamed v3222(2)-1,Origin_j2_3,Axis7,j2_3,fixed,0,0,0,0.0015246,0.0015068,0.0026032,l2_2,0,0,0,,,,,,,,,,,,
l2_3,-0.45468,0.29904,0.014589,0,0,0,0.02038,1.6774E-05,1.0677E-05,-2.5316E-06,1.3435E-05,1.9383E-06,2.5517E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l2_3.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l2_3.STL,,LEG_2_3^l_BOT_URDF_renamed v3222(2)-1,Origin_s2_2_l2_3,,s2_2_l2_3,fixed,0,0,0,0,0,-0.002602,s2_2,0,0,0,,,,,,,,,,,,
f_2,-0.51325,0.36426,-0.018726,0,0,0,0.0030798,1.7526E-07,-3.1591E-08,6.2592E-09,1.7567E-07,-6.2989E-09,2.0503E-07,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/f_2.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/f_2.STL,,FEET_2^l_BOT_URDF_renamed v3222(2)-1,Origin_j2_4,Axis8,j2_4,fixed,0.0011854,0.0010207,-0.0096008,0.0098937,0.0098288,4.8622E-05,l2_3,0,0,0,,,,,,,,,,,,
s3,-0.322559768603675,0.172301038435818,0.0251678185355065,0,0,0,0.0240984569067207,6.83203605327443E-06,1.68294919971701E-06,3.92275637109244E-07,6.79866833186458E-06,-3.96179643711421E-07,5.61091494064439E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s3.STL,0.643137254901961,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s3.STL,,SERVO_3_1^l_BOT_URDF_renamed v3222(2)-1,Origin_b_s3,,b_s3,fixed,0.022459,-0.037253,0.013934,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
l3_1,-0.360243796012933,0.203056234474588,0.018472758003884,0,0,0,0.0210998919875543,1.77344714455753E-05,3.48878889497845E-06,-1.73447368117987E-07,2.13052899365085E-05,3.93407768232215E-07,1.11184028494002E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l3_1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l3_1.STL,,LEG_3_1^l_BOT_URDF_renamed v3222(2)-1,Origin_j3_1,Axis9,j3_1,fixed,0,0,0,0,0,0.00326695605497638,s3,0,0,0,,,,,,,,,,,,
s3_2,-0.363468829725881,0.222542952725877,0.0194640519898278,0,0,0,0.0328373418503089,8.91392890958001E-06,-2.96887243985343E-06,2.48695123911074E-07,8.98362998881831E-06,2.45792505321337E-07,8.26690043293506E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s3_2.STL,0.643137254901961,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s3_2.STL,,SERVO_3_2^l_BOT_URDF_renamed v3222(2)-1,Origin_l3_1_s3_1,Axis_l3_1_s3_1,l3_1_s3_1,fixed,0.00058605747256851,0.00107402352145065,0,0,0,0.0026020072414257,l3_1,0,0,0,,,,,,,,,,,,
l3_2,-0.399233353203785,0.250303986466065,0.00977159451551093,0,0,0,0.0192528173705845,1.48542354840556E-05,1.03179961590627E-06,1.0910494310533E-07,1.41644318225107E-05,-5.45037045668783E-08,2.800378369843E-05,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l3_2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/l3_2.STL,,LEG_3_2^l_BOT_URDF_renamed v3222(2)-1,Origin_j3_2,Axis10,j3_2,fixed,-0.000588850102462478,-0.00107249496157911,0,0,0,-0.0026020189570754,s3_2,0,0,0,,,,,,,,,,,,
s3_3,-0.433924871974542,0.29210132243231,0.00989955773539183,0,0,0,0.0241727559537596,4.85376681225718E-06,2.48639726850489E-07,-5.91878308582643E-09,5.92686084263119E-06,4.34928013478583E-09,8.5349994948469E-06,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s3_3.STL,0.643137254901961,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://l_BOT_URDF_renamed v3222(2)/meshes/s3_3.STL,,SERVO_3_3^l_BOT_URDF_renamed v3222(2)-1,Origin_j3_3,Axis11,j3_3,fixed,0.00155576815371488,0.00269804034174669,-0.007250373734392,0.0103145231890605,0.0101936236177016,0.00265459106018305,l3_2,0,0,0,,,,,,,,,,,,
