Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
caml2,-0.00829787092843479,-0.00125257693634678,0.0034961726278622,0,0,0,0.0209078266382902,1.88622426776458E-06,-9.79229834524731E-08,2.84219026709425E-07,2.17194884551475E-06,7.17831496739944E-09,3.09410298894122E-06,0,0,0,0,0,0,package://reccobot_description/meshes/caml2.STL,0.643137254901961,0.588235294117647,0.894117647058823,1,0,0,0,0,0,0,package://reccobot_description/meshes/caml2.STL,,CAM_LINK2^reccobot_description-1,Origin_caml1_caml2,Axis_caml1_caml2,caml1_caml2,revolute,-0.032105,-0.035121,-0.016879,0,-0.89729,0.83023,caml1,0,1,0,0.18,8.7,-1.57,1.57,,,0.02,0.01,1.4,-1.4,10,0.3
caml,0.00136224010866628,-0.000831992864671033,2.35922392732846E-15,0,0,0,0.00245642216350232,1.81975806027427E-07,3.81792745135696E-09,-1.62573370771801E-20,9.77136681158312E-08,4.2313131765443E-21,9.60989355374431E-08,0,0,0,0,0,0,package://reccobot_description/meshes/caml.STL,0.894117647058823,0.596078431372549,0.596078431372549,1,0,0,0,0,0,0,package://reccobot_description/meshes/caml.STL,,CAM^reccobot_description-1,Origin_camj,,camj,fixed,-0.01155,-0.00096998,0.0108,1.5663,-1.5708,-3.1339,caml2,0,0,0,,,,,,,,,,,,
cell1,-0.244694104887168,0.160666796035246,-0.00618055061929496,0,0,0,0.0499853466405161,2.0244065389409E-06,3.53239426414076E-20,2.94496692564637E-15,1.86112107324855E-05,-1.81954433898578E-24,1.86112107324855E-05,0,0,0,0,0,0,package://reccobot_description/meshes/cell1.STL,0.894117647058823,0.596078431372549,0.596078431372549,1,0,0,0,0,0,0,package://reccobot_description/meshes/cell1.STL,,CELL_2^reccobot_description-1,Origin_base_cell12,Axis_base_cell1,base_cell1,fixed,0.0224591225389912,-0.0372527334765431,0.0139338253382222,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
cell2,-0.21605789587199,0.1023675823468,0.0408194493855248,0,0,0,0.0499853466405161,1.86107615325504E-05,-8.63167978228236E-08,1.49335843962057E-17,2.02485573887598E-06,2.86959022521827E-15,1.86112107324855E-05,0,0,0,0,0,0,package://reccobot_description/meshes/cell2.STL,0.894117647058823,0.596078431372549,0.596078431372549,1,0,0,0,0,0,0,package://reccobot_description/meshes/cell2.STL,,CELL_3^reccobot_description-1,Origin_base_cell22,Axis_base_cell2,base_cell2,fixed,0.0224591225389912,-0.0372527334765431,0.0139338253382222,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
lipo,-0.258174830572919,0.263999232932751,-0.0477397920000414,0,0,0,0.349997884499999,0.00101233971442587,-1.58525796998738E-13,-9.71976093727736E-15,0.00011999094140275,9.71450148261008E-17,0.000955873389059873,0,0,0,0,0,0,package://reccobot_description/meshes/lipo.STL,0.584313725490196,0.886274509803922,0.862745098039216,1,0,0,0,0,0,0,package://reccobot_description/meshes/lipo.STL,,LIPO^reccobot_description-1,Origin_base_lipo2,Axis_base_lipo,base_lipo,fixed,0.03786685284412,-0.28824701343813,0.083860829373268,-3.14159265358973,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
imul,-0.213501631412028,0.113837295066825,0.0161781119117345,0,0,0,0.002937161766458,1.52539886110946E-07,2.2856887179168E-12,-8.05576700837749E-11,1.23745165873367E-07,3.85175465800715E-12,2.74693453874094E-07,0,0,0,0,0,0,package://reccobot_description/meshes/imul.STL,0.894117647058823,0.596078431372549,0.596078431372549,1,0,0,0,0,0,0,package://reccobot_description/meshes/imul.STL,,IMU^reccobot_description-1,Origin_imuj2,Axis_imuj,imuj,fixed,0.0224591225389912,-0.0372527334765431,0.0139338253382222,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
cell3,0.0325,5.77030437320936E-12,-5.55111512312578E-17,0,0,0,0.0499853466405161,2.0244065389409E-06,-2.94495377364414E-15,3.32709575907461E-20,1.86112107324855E-05,5.89761258692036E-30,1.86112107324855E-05,0,0,0,0,0,0,package://reccobot_description/meshes/cell3.STL,0.894117647058823,0.596078431372549,0.596078431372549,1,0,0,0,0,0,0,package://reccobot_description/meshes/cell3.STL,,CELL_1^reccobot_description-1,Origin_base_cell32,Axis_base_cell3,base_cell3,fixed,-0.254734982348177,-0.031072182877828,0.088600621373457,0,0,0,base_link,0,0,0,,,,,,,,,,,,
stepper,-0.249087331832357,0.116064652826235,0.0263763295335413,0,0,0,0.207103571205244,4.95697655016273E-05,-3.13286961279758E-13,1.34899285182874E-09,4.9569645101094E-05,-3.50862704404448E-12,5.8177968963898E-05,0,0,0,0,0,0,package://reccobot_description/meshes/stepper.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://reccobot_description/meshes/stepper.STL,,STEPPER^reccobot_description-1,Origin_base_stepper2,,base_stepper,fixed,0.022459,-0.037253,0.013934,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
coupling,-0.0222071129770512,5.34128297147163E-12,-1.27708954522632E-12,0,0,0,0.0173973531530402,5.50419861200883E-07,5.24434323804791E-16,-1.25398434632474E-16,2.73088742482146E-06,0,2.73088742482146E-06,0,0,0,0,0,0,package://reccobot_description/meshes/coupling.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://reccobot_description/meshes/coupling.STL,,LIDAR_COUPLING.STEP-1,Origin_base_coupling2,Axis_base_coupling2,base_coupling,revolute,-0.24909,0.11606,0.045789,1.0356,1.5708,0,stepper,1,0,0,0.5,0.6,-6.28,6.25,,,0.02,0.01,6,-6,5,0.2
flange,-2.90384383205833E-12,7.90534304684343E-13,0.0121683891910861,0,0,0,0.0165181718451683,2.60100400176592E-06,1.58818677610181E-21,5.68956069101515E-17,2.60100400176592E-06,-1.54692570472504E-17,2.36255703355926E-06,0,0,0,0,0,0,package://reccobot_description/meshes/flange.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://reccobot_description/meshes/flange.STL,,FLANGE_COUPLING^reccobot_description-1,Origin_coupling_flange2,,coupling_flange,fixed,-0.044,0,0,1.5708,-0.50045,-1.5708,coupling,0,0,0,,,,,,,,,,,,
lidarmount,-0.248417640151496,0.114901144087754,0.12950047438279,0,0,0,0.0199629448790884,9.39303887331325E-06,-1.33283096989708E-06,-5.30310010911762E-08,1.0942656994844E-05,9.2159975733057E-08,6.50210639657573E-06,0,0,0,0,0,0,package://reccobot_description/meshes/lidarmount.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://reccobot_description/meshes/lidarmount.STL,,LIDAR_MOUNT^reccobot_description-1,Origin_flange_lidarmount2,,flange_lidarmount,fixed,0.24909,-0.11606,-0.089789,0,0,0,flange,0,0,0,,,,,,,,,,,,
lidarl,-0.256143176414863,0.1283285607983,0.143452449615597,0,0,0,0.109998846473485,4.02318810582621E-05,-7.76004870962997E-06,-7.75960890763623E-12,4.92541598732305E-05,-4.46080940664635E-12,3.57666279058567E-05,0,0,0,0,0,0,package://reccobot_description/meshes/lidarl.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://reccobot_description/meshes/lidarl.STL,,LIDAR^reccobot_description-1,Origin_lidarmount_lidar2,,lidarmount_lidar,fixed,0,0,0,0,0,0,lidarmount,0,0,0,,,,,,,,,,,,
encoder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://reccobot_description/meshes/encoder.STL,1,1,1,1,0,0,0,0,0,0,package://reccobot_description/meshes/encoder.STL,,ENCODER^reccobot_description-1,Origin_base_encoder2,Axis_base_encoder,base_encoder,fixed,0.0224591225389912,-0.0372527334765431,0.0139338253382222,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
